순번,등록일자,지역,유형,장프,티켓구분,공연명,단체명,공연기간,공연장소
220,2019-05-07,대전,공연,연극,할인티켓,[대전]휴먼코메디<장남>,아트컴퍼니 제로,2019-05-17~2019-05-26,소극장 커튼콜
221,2019-05-03,경기,공연,아동극,무료티켓,[경기]아동극<행복한 왕자> - 과천(객석나눔),과천시시설관리공단,2019-05-18~2019-05-18,과천시민회관 소극장
222,2019-04-12,울산,공연,아동극,무료티켓,[울산]2019 어린이율동놀이뮤지컬<호비쇼> - 울산(객석나눔),(주)화랑엔터테인먼트,2019-05-18~2019-05-19,울산북구문화예술회관
223,2019-04-12,울산,공연,아동극,할인티켓,[울산]2019 어린이율동놀이뮤지컬<호비쇼> - 울산,(주)화랑엔터테인먼트,2019-05-18~2019-05-19,울산북구문화예술회관
224,2019-05-09,충남,공연,퍼포먼스,무료티켓,[충남]2019 최현우 THE BRAIN - 천안(객석나눔),주식회사 이디엔터테인먼트,2019-05-18~2019-05-19,천안예술의전당 대공연장
225,2019-05-02,광주,공연,퍼포먼스,할인티켓,[광주]2019 동춘서커스,유한회사 와이투이엔티,2019-05-19~2019-05-19,광주문화예술회관 대극장
226,2019-05-08,인천,공연,클래식,무료티켓,[인천]박상원과 함께하는 브런치 콘서트 -  나는 누구인가? 리어왕이 묻고 아큐가 답한다(객석나눔),(재)인천광역시부평구문화재단,2019-05-23~2019-05-23,부평아트센터 해누리극장
227,2019-05-10,서울,공연,클래식,무료티켓,[서울]코리안심포니오케스트라 213회 정기연주회 - Nostalgia(객석나눔),(재)코리안심포니오케스트라,2019-05-23~2019-05-23,예술의전당 콘서트홀
228,2019-05-16,서울,공연,연극,할인티켓,[서울]Y페스티벌<박씨전>,극단여행자,2019-05-23~2019-05-26,여행자극장
229,2019-05-03,서울,공연,국악,무료티켓,[서울]음악으로 만나다(객석나눔),국립국악원,2019-05-24~2019-05-25,국립국악원 예악당
230,2019-03-25,울산,공연,뮤지컬,무료티켓,[울산]뮤지컬<마흔즈음에> - 김광석을 노래하다(객석나눔),(주)화랑엔터테인먼트,2019-05-25~2019-05-25,KBS울산홀
231,2019-03-25,울산,공연,뮤지컬,할인티켓,[울산]뮤지컬<마흔즈음에> - 김광석을 노래하다,(주)화랑엔터테인먼트,2019-05-25~2019-05-25,KBS울산홀
232,2019-04-25,경기,공연,아동극,무료티켓,[경기]체코 마리오네트 인형극<더우든 서커스>(객석나눔),(재)고양문화재단(어울림누리),2019-05-25~2019-05-25,고양어울림누리 별모래극장
233,2019-04-25,경기,공연,아동극,할인티켓,[경기]체코 마리오네트 인형극<더우든 서커스>,(재)고양문화재단(어울림누리),2019-05-25~2019-05-25,고양어울림누리 별모래극장
234,2019-04-24,전북,공연,아동극,무료티켓,[전북]2019 어린이율동놀이뮤지컬<호비쇼> - 전주(객석나눔),(주)화랑엔터테인먼트,2019-05-25~2019-05-26,전주 덕진예술회관
235,2019-04-24,전북,공연,아동극,할인티켓,[전북]2019 어린이율동놀이뮤지컬<호비쇼> - 전주,(주)화랑엔터테인먼트,2019-05-25~2019-05-26,전주 덕진예술회관
236,2019-05-14,경북,공연,콘서트,무료티켓,"[경북]2018-9 '만9,900원의 행복' 서영은 콘서트<시즌3> - 안동",(주)늘픔이엔티,2019-05-26~2019-05-26,안동문화예술의전당 웅부홀
237,2019-05-23,서울,공연,연극,무료티켓,[서울]고도를 기다리며(객석나눔),(재)국립극단,2019-05-30~2019-05-30,명동예술극장
238,2019-05-16,서울,공연,연극,할인티켓,[서울]Y페스티벌<라쇼몽>,극단여행자,2019-05-30~2019-06-02,여행자극장
239,2019-05-22,대구,공연,뮤지컬,무료티켓,[대구]뮤지컬<그날들>(객석나눔),(주)에스제이이엔티,2019-05-31~2019-06-02,계명아트센터
240,2019-05-27,서울,공연,연극,무료티켓,[서울]뼈의 기행(객석나눔),(재)국립극단,2019-05-31~2019-06-07,백성희장민호극장
241,2019-05-03,경기,공연,아동극,무료티켓,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 과천(객석나눔),(주)화랑엔터테인먼트,2019-06-01~2019-06-01,과천시민회관 소극장
242,2019-05-03,경기,공연,아동극,할인티켓,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 과천,(주)화랑엔터테인먼트,2019-06-01~2019-06-01,과천시민회관 소극장
243,2019-05-16,서울,공연,연극,무료티켓,[서울]공포 심리 미스터리 연극<흉터>(객석나눔),주식회사 대학로발전소,2019-06-01~2019-07-31,미마지아트센터 풀빛극장
244,2019-05-15,서울,공연,클래식,무료티켓,[서울]제73회 서울오라토리오 정기연주회<멘델스존 엘리야>(객석나눔),서울오라토리오,2019-06-02~2019-06-02,예술의전당 콘서트홀
245,2019-05-24,서울,공연,연극,무료티켓,[서울]청소년극<영지>(객석나눔),(재)국립극단,2019-06-03~2019-06-03,국립극단 소극장 판
246,2019-05-13,서울,공연,클래식,무료티켓,[서울]서울모테트합창단 창단 30주년 기념 마스터피스 시리즈 Ⅳ - 바흐의 세속 칸타타(객석나눔),재단법인 서울모테트음악재단,2019-06-04~2019-06-04,예술의전당 콘서트홀
247,2019-05-13,서울,공연,클래식,할인티켓,[서울]서울모테트합창단 창단 30주년 기념 마스터피스 시리즈 Ⅳ - 바흐의 세속 칸타타,재단법인 서울모테트음악재단,2019-06-04~2019-06-04,예술의전당 콘서트홀
248,2019-05-23,부산,공연,연극,무료티켓,[부산]2019 강력하게 돌아온 심리스릴러 연극<새빨간거짓말>(객석나눔),주식회사플레이더부산,2019-06-06~2019-09-01,부산메트로홀(구AN아트홀RED)
249,2019-05-23,부산,공연,연극,할인티켓,[부산]2019 강력하게 돌아온 심리스릴러 연극<새빨간거짓말>,주식회사플레이더부산,2019-06-06~2019-09-01,부산메트로홀(구AN아트홀RED)
250,2019-05-29,서울,공연,연극,무료티켓,[서울]연극<굴레방다리의 소극>(객석나눔),(주)씨어터오,2019-06-07~2019-07-14,예그린씨어터
251,2019-06-05,서울,공연,콘서트,무료티켓,[서울]BKB 콘서트(객석나눔),한국블루스소사이어티(구),2019-06-08~2019-06-08,코리아블루스씨어터
252,2019-05-09,경기,공연,아동극,무료티켓,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 부천(객석나눔),(주)화랑엔터테인먼트,2019-06-08~2019-06-09,오정아트홀
253,2019-05-09,경기,공연,아동극,할인티켓,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 부천,(주)화랑엔터테인먼트,2019-06-08~2019-06-09,오정아트홀
254,2019-06-05,서울,공연,전통,무료티켓,[서울]국립창극단<심청가>(객석나눔),국립중앙극장,2019-06-11~2019-06-14,국립극장 달오름극장
255,2019-05-14,대전,공연,연극,할인티켓,[대전]연극<공원벤치가 견뎌야하는 상실의 무게>,아트컴퍼니 제로,2019-06-12~2019-06-22,소극장 커튼콜
256,2019-05-28,서울,공연,연극,무료티켓,[서울]최후만찬(객석나눔),플레이몽,2019-06-13~2019-06-18,대학로예술극장 소극장
257,2019-05-22,서울,공연,클래식,무료티켓,[서울]코리안 솔로이스츠 정기연주회(객석나눔),코리안 솔로이스츠(Korean Soloists),2019-06-14~2019-06-14,예술의전당 IBK챔버홀
258,2019-05-30,서울,공연,연극,무료티켓,[서울]콘센트-동의(객석나눔),(재)국립극단,2019-06-14~2019-07-07,명동예술극장
259,2019-05-10,경북,공연,퍼포먼스,무료티켓,[경북]더 쉐도우(객석나눔),재단법인 포항문화재단,2019-06-15~2019-06-15,포항문화예술회관 대공연장
260,2019-05-21,인천,공연,아동극,무료티켓,[인천]스테이지149-어린이명작무대 1 <위험한 실험실B-123>(객석나눔),인천광역시문화예술회관,2019-06-15~2019-06-15,인천문화예술회관 소공연장
261,2019-05-27,부산,공연,클래식,무료티켓,[부산]<제69회 을숙도 명품콘서트> - 임지영＆매슈 리프먼 듀오 리사이틀(객석나눔),을숙도문화회관,2019-06-15~2019-06-15,을숙도문화회관 대공연장
262,2019-05-30,서울,공연,클래식,무료티켓,[서울]제8회 아카데미 열정과 나눔 정기연주회(객석나눔),예인예술기획,2019-06-15~2019-06-15,예술의전당 IBK챔버홀
263,2019-06-04,전남,공연,콘서트,할인티켓,[전남]이미자 노래인생 60년 기념 음악회 - 광양,(주)그린엔터테인먼트,2019-06-15~2019-06-15,포스코 광양 백운아트홀
264,2019-06-07,서울,공연,콘서트,무료티켓,[서울]리치맨트리오 콘서트(객석나눔),한국블루스소사이어티(구),2019-06-15~2019-06-15,코리아블루스씨어터
265,2019-06-10,부산,공연,콘서트,할인티켓,"[부산]2019 ‘만9,900원의 행복’ 이현우 콘서트",(주)늘픔이엔티,2019-06-15~2019-06-15,KBS부산홀
266,2019-06-13,전남,공연,콘서트,무료티켓,[전남]이미자 노래인생 60년 기념 음악회 - 광양(객석나눔),(주)그린엔터테인먼트,2019-06-15~2019-06-15,포스코 광양 백운아트홀
267,2019-05-17,대구,공연,아동극,무료티켓,[대구]2019 어린이율동놀이뮤지컬<호비쇼>(객석나눔),(주)화랑엔터테인먼트,2019-06-15~2019-06-16,어린이회관 꾀꼬리극장
268,2019-05-17,대구,공연,아동극,할인티켓,[대구]2019 어린이율동놀이뮤지컬<호비쇼>,(주)화랑엔터테인먼트,2019-06-15~2019-06-16,어린이회관 꾀꼬리극장
269,2019-05-28,서울,공연,연극,무료티켓,"[서울]안녕, 말판씨(객석나눔)",이매진디아츠팩토리,2019-06-17~2019-07-30,대학로 더굿씨어터
270,2019-05-28,서울,공연,연극,할인티켓,"[서울]안녕, 말판씨",이매진디아츠팩토리,2019-06-17~2019-07-30,대학로 더굿씨어터
271,2019-05-29,인천,공연,클래식,무료티켓,[인천]바르샤바 필하모닉 챔버 오케스트라(객석나눔),인천광역시문화예술회관,2019-06-18~2019-06-18,인천문화예술회관 대공연장
272,2019-05-10,서울,공연,아동극,할인티켓,[서울]베스트셀러 어린이뮤지컬 <피터래빗>,엔씨컴퍼니,2019-06-18~2019-07-28,한국방송회관 코바코홀
273,2019-06-04,인천,공연,발레/무용,무료티켓,[인천]2019 커피콘서트Ⅳ<인천시립무용단 '춤 담은 자리'>(객석나눔),인천광역시문화예술회관,2019-06-19~2019-06-19,인천문화예술회관 소공연장
274,2019-06-04,인천,공연,발레/무용,할인티켓,[인천]2019 커피콘서트Ⅳ<인천시립무용단 '춤 담은 자리'>,인천광역시문화예술회관,2019-06-19~2019-06-19,인천문화예술회관 소공연장
275,2019-06-13,서울,공연,기타,무료티켓,[서울]특별강연<한국영화 속 로맨스 1950~60년>(객석나눔),서초문화원,2019-06-19~2019-06-19,서초문화예술회관 아트홀
276,2019-05-27,서울,공연,연극,무료티켓,[서울]나팔봉(객석나눔),창작집단상상두목,2019-06-20~2019-06-30,동양예술극장 3관
277,2019-05-27,서울,공연,연극,할인티켓,[서울]나팔봉,창작집단상상두목,2019-06-20~2019-06-30,동양예술극장 3관
278,2019-06-07,인천,공연,클래식,무료티켓,[인천]부평아트센터 우수클래식<앙상블 디토 리사이틀>(객석나눔),(재)인천광역시부평구문화재단,2019-06-21~2019-06-21,부평아트센터 해누리극장
279,2019-06-19,서울,공연,콘서트,무료티켓,[서울]탐블루스밴드 콘서트(객석나눔),한국블루스소사이어티,2019-06-21~2019-06-21,코리아블루스씨어터
280,2019-06-19,서울,공연,연극,무료티켓,[서울]호모루덴스마임컴퍼니 20주년 기념공연 - 2K(객석나눔),컬처버스,2019-06-21~2019-06-22,서강대학교 메리홀 대극장
281,2019-06-18,서울,공연,뮤지컬,무료티켓,[서울]창작가무극<신과함께 - 이승편>(객석나눔),(재)서울예술단,2019-06-21~2019-06-23,LG아트센터
282,2019-06-10,경남,공연,콘서트,할인티켓,"[경남]2019 ‘만9,900원의 행복’ 이현우 콘서트 - 창원",(주)늘픔이엔티,2019-06-22~2019-06-22,KBS창원홀
283,2019-06-17,충북,공연,콘서트,할인티켓,"[충북]2018-9 '만9,900원의 행복' 서영은 콘서트<시즌3> - 청주",(주)늘픔이엔티,2019-06-22~2019-06-22,청주 CJB 미디어센터 에덴아트홀
284,2019-05-24,경기,공연,아동극,무료티켓,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 용인(객석나눔),(주)화랑엔터테인먼트,2019-06-22~2019-06-23,용인문예회관 처인홀
285,2019-05-24,경기,공연,아동극,할인티켓,[경기]2019 어린이율동놀이뮤지컬<호비쇼> - 용인,(주)화랑엔터테인먼트,2019-06-22~2019-06-23,용인문예회관 처인홀
286,2019-06-12,부산,공연,콘서트,할인티켓,[부산]2019 먼데이키즈 전국투어콘서트 <발라드맛집>,주식회사 조은라인,2019-06-23~2019-06-23,KBS부산홀
287,2019-06-19,서울,공연,뮤지컬,무료티켓,[서울]뮤지컬<안나 카레니나>(객석나눔),(주)인터파크씨어터,2019-06-25~2019-06-27,블루스퀘어 인터파크홀
288,2019-06-05,서울,공연,기타,무료티켓,[서울]화합과 평화를 위한 연주회<영랑의 모란이 피기까지는>(객석나눔),(재)국립합창단,2019-06-26~2019-06-26,예술의전당 콘서트홀
289,2019-06-11,서울,공연,국악,무료티켓,[서울]국립국악관현악단 정오의 음악회 - 6월(객석나눔),국립중앙극장,2019-06-26~2019-06-26,국립극장 하늘극장
290,2019-06-13,서울,공연,기타,무료티켓,[서울]특별강연<위대한 청춘 70년>(객석나눔),서초문화원,2019-06-26~2019-06-26,서초문화예술회관 아트홀
